,Gebiedscode,meting,date,doy,dop,plastic_6_packringen,plastic_tassen,plastic_kleine_plastic_tasjes,plastic_drankflessen_groterdan_halveliter,plastic_drankflessen_kleinerdan_halveliter,plastic_wikkels_van_drankflessen,plastic_verpakking_van_schoonmaakmiddelen,plastic_voedselverpakkingen_frietbakjes_etc,plastic_cosmeticaverpakkingen,plastic_motorolieverpakking_groterdan50cm,plastic_jerrycans,plastic_kratten,plastic_auto_onderdelen,plastic_doppen_en_deksels,plastic_aanstekers,plastic_speelgoed,plastic_plastic_bekers_of_delen_daarvan,plastic_netzakken,plastic_handschoenen_huishoudelijk,plastic_handschoenen_professioneel,plastic_touw_diameter_groterdan_1cm,plastic_touw_diameter_kleinerdan_1cm,plastic_sportvisspullen,plastic_breekstaafjes,plastic_emmers,plastic_industrieel_verpakkingsmateriaal,plastic_helmen,plastic_geweerpatronen,plastic_schoenen,plastic_plastic_stukjes_0_2_5cm_hard_plastic,plastic_plastic_stukjes_2_5_50cm_hard_plastic,plastic_plastic_stukjes_0_2_5cm_zacht_plastic,plastic_plastic_stukjes_2_5_50cm_zacht_plastic,plastic_overig_plastic,plastic_piepschuim_0_2_5cm,plastic_piepschuim_2_5_50cm,plastic_piepschuim_voedselverpakkingen,plastic_plastic_folies_groterdan_50cm,plastic_hard_plastic_groterdan_50cm,plastic_rietjes,plastic_snoep_snack_chipsverpakking,plastic_piepschuim_groterdan_50cm,plastic_piepschuim_bekers,plastic_bestek,plastic_biofilm_waterfiltertjes,plastic_kitspuiten,plastic_kunststof_band_tiewraps,plastic_lolliestokjes,plastic_motorolieverpakking_kleinerdan50cm,plastic_vuilniszakken,plastic_schrijfwaren,plastic_visdraad,plastic_vuurwerk,plastic_borden_new,plastic_roerstaafjes_new,plastic_bloempotten_new,plastic_plakband_new,rubber_ballonnen,rubber_banden,rubber_overig_rubber,textiel_kleding,textiel_vloerbedekking,textiel_schoeisel,textiel_overig_textiel,papier_tassen,papier_karton,papier_sigarettenverpakking,papier_sigarettenfilters,papier_kartonnen_bekers,papier_kranten,papier_papier_overig,papier_drankkarton,papier_ondefinieerbaar,hout_kurk,hout_pellets,hout_ijsstokjes,hout_kwasten,hout_overig_hout_keinderdan_50cm,hout_overig_hout_groterdan_50cm,metaal_aluminiumfolie,metaal_capsules,metaal_drankblikjes,metaal_elektriciteitsdraad,metaal_oud_ijzer,metaal_kroonkurken,metaal_oliedrum,metaal_omheinigsdraad_prikkeldraad,metaal_spuitbussen,metaal_verfblik,metaal_vislood,metaal_voedselblikken,metaal_wegwerpbarbecues,metaal_overig_metaal_kleinerdan_50cm,metaal_overig_metaal_groterdan_50cm,glas_flessen_pottten,glas_lampen_tl_lampen,glas_overig_glas,sanitair_cosmetica,sanitair_plastic_wattenstaafjes,sanitair_kartonnen_wattenstaafjes,sanitair_vochtige_doekjes,sanitair_condooms,sanitair_maandverband_en_verpakkingen_ervan,sanitair_plastic_kam_borstel,sanitair_tampons_en_tamponapplicators,sanitair_tissues_wc_papier,sanitair_toiletverfrissers,sanitair_overig_sanitair,medisch_verpakkingen,medisch_spuiten,medisch_overig_medisch,granulaat_korrels
83,M(087a)L-NBNL,1,20180216,47.0,411.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,19.0,2.0,1.0,0.0,1.0,,,0.0,,20.0,,,4.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,5.0
84,M(086a)R-LINL,1,20180313,72.0,436.0,0.0,0.0,1.0,2.0,5.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,38.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,31.0,19.0,27.0,45.0,0.0,9.0,,,0.0,,35.0,,,7.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0
85,M(085a)L-LINL,1,20180220,51.0,415.0,0.0,5.0,2.0,2.0,7.0,11.0,0.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,30.0,61.0,259.0,0.0,0.0,4.0,,,0.0,,1.0,,,2.0,,0.0,2.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,,5.0,,,1.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,19.0
86,M(084a)L-NBNL,1,20180224,55.0,419.0,0.0,2.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,7.0,0.0,222.0,0.0,0.0,19.0,,,1.0,,47.0,,,5.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,5.0,,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,8.0
87,M(083a)L-NBNL,1,20180218,49.0,413.0,0.0,5.0,0.0,1.0,2.0,18.0,9.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,0.0,1.0,0.0,11.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,210.0,148.0,176.0,44.0,2.0,0.0,62.0,,,1.0,,225.0,,,20.0,,0.0,8.0,,0.0,,0.0,0.0,,,,,,2.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,1.0,0.0,0.0,0.0,28.0,20.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,45.0,,,0.0,4.0,2.0,0.0,,1.0,4.0,0.0,1.0,2.0,38.0
88,M(082b)L-REFE,1,20180309,68.0,432.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0,32.0,5.0,0.0,1.0,0.0,0.0,21.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,18.0,64.0,23.0,47.0,0.0,0.0,34.0,,,2.0,,66.0,,,11.0,,0.0,2.0,,0.0,,2.0,0.0,,,,,,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,10.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,,23.0,,,0.0,5.0,1.0,2.0,,1.0,0.0,0.0,0.0,2.0,1.0
89,M(080a)R-LINL,1,20180223,54.0,418.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,104.0,2.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,33.0,36.0,33.0,27.0,2.0,0.0,18.0,,,0.0,,31.0,,,0.0,,0.0,0.0,,1.0,,0.0,0.0,,,,,,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,,4.0,,,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,1.0,0.0,14.0
90,M(079a)R-LINL,1,20180329,88.0,452.0,0.0,1.0,0.0,8.0,16.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,28.0,22.0,0.0,0.0,32.0,,,0.0,,0.0,,,2.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,4.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0
91,M(077a)R-NBNL,1,20180321,80.0,444.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,2.0,35.0,51.0,2.0,0.0,9.0,,,1.0,,34.0,,,2.0,,2.0,1.0,,0.0,,1.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,7.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0
92,M(075a)R-LINL,1,20180316,75.0,439.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,10.0,0.0,0.0,4.0,,,2.0,,2.0,,,2.0,,0.0,1.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,2.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0
93,M(074a)R-LINL,1,20180224,55.0,419.0,0.0,0.0,5.0,5.0,2.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,5.0,1.0,0.0,1.0,2.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,9.0,91.0,123.0,8.0,0.0,2.0,,,11.0,,41.0,,,2.0,,0.0,0.0,,0.0,,1.0,0.0,,,,,,0.0,0.0,2.0,1.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,2.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0
94,M(073a)L-NBNL,1,20180226,57.0,421.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,36.0,39.0,40.0,0.0,0.0,5.0,,,2.0,,19.0,,,0.0,,0.0,0.0,,1.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,4.0
95,M(072b)L-NBNL,1,20180310,69.0,433.0,0.0,1.0,5.0,4.0,1.0,1.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,38.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,22.0,22.0,37.0,27.0,4.0,0.0,21.0,,,10.0,,11.0,,,5.0,,2.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,,1.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,4.0,11.0
